symbol,date
ABR,2026-05-04 07:00:00
ABT,2026-05-04 07:00:00
ACB,2026-05-04 07:00:00
ACC,2026-05-04 07:00:00
ACL,2026-05-04 07:00:00
ACV,2026-05-04 07:00:00
ADC,2026-05-04 07:00:00
AFX,2026-05-04 07:00:00
AG1,2026-05-04 07:00:00
AGG,2026-05-04 07:00:00
AGP,2026-05-04 07:00:00
AGX,2026-05-04 07:00:00
ALV,2026-05-04 07:00:00
ANT,2026-05-04 07:00:00
ANV,2026-05-04 07:00:00
APF,2026-05-04 07:00:00
APG,2026-05-04 07:00:00
APP,2026-05-04 07:00:00
ASM,2026-05-04 07:00:00
AVC,2026-05-04 07:00:00
AVG,2026-05-04 07:00:00
BAB,2026-05-04 07:00:00
BAF,2026-05-04 07:00:00
BAL,2026-05-04 07:00:00
BBH,2026-05-04 07:00:00
BBS,2026-05-04 07:00:00
BCA,2026-05-04 07:00:00
BCM,2026-05-04 07:00:00
BCP,2026-05-04 07:00:00
BHN,2026-05-04 07:00:00
BLI,2026-05-04 07:00:00
BMS,2026-05-04 07:00:00
BMV,2026-05-04 07:00:00
BT1,2026-05-04 07:00:00
BTP,2026-05-04 07:00:00
BTS,2026-05-04 07:00:00
BTU,2026-05-04 07:00:00
BVL,2026-05-04 07:00:00
BVS,2026-05-04 07:00:00
CCI,2026-05-04 07:00:00
CCR,2026-05-04 07:00:00
CDN,2026-05-04 07:00:00
CDP,2026-05-04 07:00:00
CIA,2026-05-04 07:00:00
CID,2026-05-04 07:00:00
CKD,2026-05-04 07:00:00
CLM,2026-05-04 07:00:00
CLX,2026-05-04 07:00:00
CMN,2026-05-04 07:00:00
CQN,2026-05-04 07:00:00
CQT,2026-05-04 07:00:00
CRE,2026-05-04 07:00:00
CSC,2026-05-04 07:00:00
CSM,2026-05-04 07:00:00
CST,2026-05-04 07:00:00
CSV,2026-05-04 07:00:00
CTG,2026-05-04 07:00:00
CTI,2026-05-04 07:00:00
CTP,2026-05-04 07:00:00
CTR,2026-05-04 07:00:00
CTW,2026-05-04 07:00:00
CTX,2026-05-04 07:00:00
CVT,2026-05-04 07:00:00
D2D,2026-05-04 07:00:00
DBC,2026-05-04 07:00:00
DBD,2026-05-04 07:00:00
DCL,2026-05-04 07:00:00
DGC,2026-05-04 07:00:00
DGW,2026-05-04 07:00:00
DHA,2026-05-04 07:00:00
DHB,2026-05-04 07:00:00
DHD,2026-05-04 07:00:00
DHM,2026-05-04 07:00:00
DIH,2026-05-04 07:00:00
DLG,2026-05-04 07:00:00
DNC,2026-05-04 07:00:00
DNH,2026-05-04 07:00:00
DPR,2026-05-04 07:00:00
DRH,2026-05-04 07:00:00
DRI,2026-05-04 07:00:00
DSC,2026-05-04 07:00:00
DST,2026-05-04 07:00:00
DTI,2026-05-04 07:00:00
DVN,2026-05-04 07:00:00
DWC,2026-05-04 07:00:00
DWS,2026-05-04 07:00:00
DXV,2026-05-04 07:00:00
E12,2026-05-04 07:00:00
EIN,2026-05-04 07:00:00
ELC,2026-05-04 07:00:00
EVG,2026-05-04 07:00:00
EVS,2026-05-04 07:00:00
FCM,2026-05-04 07:00:00
FCN,2026-05-04 07:00:00
FDC,2026-05-04 07:00:00
FRT,2026-05-04 07:00:00
GDA,2026-05-04 07:00:00
GEE,2026-05-04 07:00:00
GHC,2026-05-04 07:00:00
GMH,2026-05-04 07:00:00
GND,2026-05-04 07:00:00
GPC,2026-05-04 07:00:00
GSM,2026-05-04 07:00:00
GSP,2026-05-04 07:00:00
HAC,2026-05-04 07:00:00
HAG,2026-05-04 07:00:00
HAP,2026-05-04 07:00:00
HC3,2026-05-04 07:00:00
HCD,2026-05-04 07:00:00
HDB,2026-05-04 07:00:00
HDG,2026-05-04 07:00:00
HEP,2026-05-04 07:00:00
HHG,2026-05-04 07:00:00
HID,2026-05-04 07:00:00
HIO,2026-05-04 07:00:00
HKT,2026-05-04 07:00:00
HMR,2026-05-04 07:00:00
HMS,2026-05-04 07:00:00
HPD,2026-05-04 07:00:00
HPX,2026-05-04 07:00:00
HSP,2026-05-04 07:00:00
HT1,2026-05-04 07:00:00
HTC,2026-05-04 07:00:00
ICG,2026-05-04 07:00:00
IDI,2026-05-04 07:00:00
IDV,2026-05-04 07:00:00
IJC,2026-05-04 07:00:00
ILA,2026-05-04 07:00:00
ILC,2026-05-04 07:00:00
IMP,2026-05-04 07:00:00
ITD,2026-05-04 07:00:00
JVC,2026-05-04 07:00:00
KDC,2026-05-04 07:00:00
KGM,2026-05-04 07:00:00
KMR,2026-05-04 07:00:00
L14,2026-05-04 07:00:00
LAI,2026-05-04 07:00:00
LBM,2026-05-04 07:00:00
LDP,2026-05-04 07:00:00
LG9,2026-05-04 07:00:00
LHC,2026-05-04 07:00:00
LSG,2026-05-04 07:00:00
MA1,2026-05-04 07:00:00
MAC,2026-05-04 07:00:00
MBB,2026-05-04 07:00:00
MBT,2026-05-04 07:00:00
MCF,2026-05-04 07:00:00
MCG,2026-05-04 07:00:00
MCM,2026-05-04 07:00:00
MCO,2026-05-04 07:00:00
MEL,2026-05-04 07:00:00
MIC,2026-05-04 07:00:00
MIG,2026-05-04 07:00:00
MML,2026-05-04 07:00:00
MPC,2026-05-04 07:00:00
MSB,2026-05-04 07:00:00
MSN,2026-05-04 07:00:00
NAB,2026-05-04 07:00:00
NAF,2026-05-04 07:00:00
NAG,2026-05-04 07:00:00
ND2,2026-05-04 07:00:00
NDT,2026-05-04 07:00:00
NDX,2026-05-04 07:00:00
NFC,2026-05-04 07:00:00
NHA,2026-05-04 07:00:00
NHH,2026-05-04 07:00:00
NHT,2026-05-04 07:00:00
NLG,2026-05-04 07:00:00
NSC,2026-05-04 07:00:00
NVL,2026-05-04 07:00:00
OIL,2026-05-04 07:00:00
ONE,2026-05-04 07:00:00
PAP,2026-05-04 07:00:00
PBC,2026-05-04 07:00:00
PC1,2026-05-04 07:00:00
PCH,2026-05-04 07:00:00
PCT,2026-05-04 07:00:00
PEG,2026-05-04 07:00:00
PGB,2026-05-04 07:00:00
PGD,2026-05-04 07:00:00
PGT,2026-05-04 07:00:00
PGV,2026-05-04 07:00:00
PHC,2026-05-04 07:00:00
PIC,2026-05-04 07:00:00
PLP,2026-05-04 07:00:00
PNC,2026-05-04 07:00:00
PND,2026-05-04 07:00:00
POS,2026-05-04 07:00:00
POV,2026-05-04 07:00:00
POW,2026-05-04 07:00:00
PPH,2026-05-04 07:00:00
PPP,2026-05-04 07:00:00
PRE,2026-05-04 07:00:00
PSB,2026-05-04 07:00:00
PTI,2026-05-04 07:00:00
PTL,2026-05-04 07:00:00
PTM,2026-05-04 07:00:00
PTS,2026-05-04 07:00:00
PV2,2026-05-04 07:00:00
PVO,2026-05-04 07:00:00
PVT,2026-05-04 07:00:00
QNC,2026-05-04 07:00:00
QNW,2026-05-04 07:00:00
QPH,2026-05-04 07:00:00
QTC,2026-05-04 07:00:00
RIC,2026-05-04 07:00:00
RYG,2026-05-04 07:00:00
S99,2026-05-04 07:00:00
SAC,2026-05-04 07:00:00
SAM,2026-05-04 07:00:00
SAS,2026-05-04 07:00:00
SAV,2026-05-04 07:00:00
SBA,2026-05-04 07:00:00
SBB,2026-05-04 07:00:00
SBV,2026-05-04 07:00:00
SCG,2026-05-04 07:00:00
SCL,2026-05-04 07:00:00
SD3,2026-05-04 07:00:00
SFI,2026-05-04 07:00:00
SGI,2026-05-04 07:00:00
SHN,2026-05-04 07:00:00
SHS,2026-05-04 07:00:00
SID,2026-05-04 07:00:00
SMT,2026-05-04 07:00:00
SRF,2026-05-04 07:00:00
SSB,2026-05-04 07:00:00
STB,2026-05-04 07:00:00
STC,2026-05-04 07:00:00
STG,2026-05-04 07:00:00
SVC,2026-05-04 07:00:00
SWC,2026-05-04 07:00:00
TBC,2026-05-04 07:00:00
TCI,2026-05-04 07:00:00
TCW,2026-05-04 07:00:00
TD6,2026-05-04 07:00:00
TDC,2026-05-04 07:00:00
TDS,2026-05-04 07:00:00
TDT,2026-05-04 07:00:00
TDW,2026-05-04 07:00:00
TFC,2026-05-04 07:00:00
TH1,2026-05-04 07:00:00
THG,2026-05-04 07:00:00
THT,2026-05-04 07:00:00
THW,2026-05-04 07:00:00
TJC,2026-05-04 07:00:00
TMB,2026-05-04 07:00:00
TMT,2026-05-04 07:00:00
TNT,2026-05-04 07:00:00
TNV,2026-05-04 07:00:00
TNW,2026-05-04 07:00:00
TPB,2026-05-04 07:00:00
TRC,2026-05-04 07:00:00
TRS,2026-05-04 07:00:00
TRV,2026-05-04 07:00:00
TS3,2026-05-04 07:00:00
TT6,2026-05-04 07:00:00
TTC,2026-05-04 07:00:00
TTF,2026-05-04 07:00:00
TTN,2026-05-04 07:00:00
TV1,2026-05-04 07:00:00
TVN,2026-05-04 07:00:00
TXM,2026-05-04 07:00:00
UDC,2026-05-04 07:00:00
UIC,2026-05-04 07:00:00
UPH,2026-05-04 07:00:00
VBB,2026-05-04 07:00:00
VC6,2026-05-04 07:00:00
VCA,2026-05-04 07:00:00
VCC,2026-05-04 07:00:00
VCG,2026-05-04 07:00:00
VCI,2026-05-04 07:00:00
VCK,2026-05-04 07:00:00
VCP,2026-05-04 07:00:00
VDS,2026-05-04 07:00:00
VE9,2026-05-04 07:00:00
VEF,2026-05-04 07:00:00
VET,2026-05-04 07:00:00
VFG,2026-05-04 07:00:00
VGV,2026-05-04 07:00:00
VHC,2026-05-04 07:00:00
VHL,2026-05-04 07:00:00
VHM,2026-05-04 07:00:00
VIF,2026-05-04 07:00:00
VIG,2026-05-04 07:00:00
VJC,2026-05-04 07:00:00
VLB,2026-05-04 07:00:00
VLC,2026-05-04 07:00:00
VLS,2026-05-04 07:00:00
VMD,2026-05-04 07:00:00
VNG,2026-05-04 07:00:00
VNI,2026-05-04 07:00:00
VNL,2026-05-04 07:00:00
VNP,2026-05-04 07:00:00
VNR,2026-05-04 07:00:00
VOS,2026-05-04 07:00:00
VPG,2026-05-04 07:00:00
VPH,2026-05-04 07:00:00
VPX,2026-05-04 07:00:00
VRE,2026-05-04 07:00:00
VRG,2026-05-04 07:00:00
VSF,2026-05-04 07:00:00
VSH,2026-05-04 07:00:00
VSI,2026-05-04 07:00:00
VTD,2026-05-04 07:00:00
VVS,2026-05-04 07:00:00
X20,2026-05-04 07:00:00
ABT,2026-05-05 07:00:00
ACB,2026-05-05 07:00:00
ACC,2026-05-05 07:00:00
ACL,2026-05-05 07:00:00
ACV,2026-05-05 07:00:00
AFX,2026-05-05 07:00:00
AG1,2026-05-05 07:00:00
AGG,2026-05-05 07:00:00
AGP,2026-05-05 07:00:00
AGX,2026-05-05 07:00:00
ALV,2026-05-05 07:00:00
ANT,2026-05-05 07:00:00
ANV,2026-05-05 07:00:00
APF,2026-05-05 07:00:00
APG,2026-05-05 07:00:00
APP,2026-05-05 07:00:00
ASM,2026-05-05 07:00:00
AVC,2026-05-05 07:00:00
AVG,2026-05-05 07:00:00
BAB,2026-05-05 07:00:00
BAF,2026-05-05 07:00:00
BBH,2026-05-05 07:00:00
BCA,2026-05-05 07:00:00
BCM,2026-05-05 07:00:00
BCP,2026-05-05 07:00:00
BHN,2026-05-05 07:00:00
BLI,2026-05-05 07:00:00
BLT,2026-05-05 07:00:00
BMJ,2026-05-05 07:00:00
BMS,2026-05-05 07:00:00
BNW,2026-05-05 07:00:00
BT1,2026-05-05 07:00:00
BTP,2026-05-05 07:00:00
BTS,2026-05-05 07:00:00
BTU,2026-05-05 07:00:00
BVL,2026-05-05 07:00:00
BVS,2026-05-05 07:00:00
CCR,2026-05-05 07:00:00
CDN,2026-05-05 07:00:00
CDP,2026-05-05 07:00:00
CIA,2026-05-05 07:00:00
CID,2026-05-05 07:00:00
CKD,2026-05-05 07:00:00
CLX,2026-05-05 07:00:00
CMM,2026-05-05 07:00:00
CMN,2026-05-05 07:00:00
CQN,2026-05-05 07:00:00
CRE,2026-05-05 07:00:00
CSC,2026-05-05 07:00:00
CSM,2026-05-05 07:00:00
