time,open,high,low,close,volume,symbol
2019-05-28 07:00:00,4.29,4.57,3.46,3.46,13230.0,A@
2021-03-03 07:00:00,18.54,20.06,16.81,20.06,17000.0,ZZZZZZ
2021-10-26 07:00:00,16.12,16.19,16.12,16.19,200.0,ZZZZZZ
2023-01-16 07:00:00,5.34,5.34,5.34,5.34,100.0,ZZZZZZ
2024-04-05 07:00:00,8.89,8.89,8.85,8.85,300.0,A@
2024-11-01 07:00:00,11.61,,,,5000.0,ZZZZZZ
2025-09-03 07:00:00,13.37,13.37,13.37,13.37,3300.0,A@
2025-12-23 07:00:00,13.7,13.7,12.4,12.6,2700.0,123
2026-03-19 07:00:00,13.0,13.0,13.0,13.0,200.0,
2016-05-09 07:00:00,23.67,24.42,23.67,24.32,3810.0,A@
2018-07-23 07:00:00,23.01,23.27,22.72,23.27,1420.0,A@
2018-11-21 07:00:00,29.36,29.36,27.32,182.73649655456575,83640.0,???
2019-01-07 07:00:00,24.41,25.45,24.1,24.73,2460.0,ZZZZZZ
2020-09-30 07:00:00,23.33,23.33,22.8,23.3,60.0,???
2021-12-17 07:00:00,27.43,27.43,27.43,27.43,200.0,A@
2023-11-02 07:00:00,28.79,28.79,28.74,28.74,300.0,A@
2024-06-19 07:00:00,31.32,31.32,31.32,31.32,900.0,
2024-10-10 07:00:00,35.8,35.8,35.8,35.8,100.0,???
2025-02-27 07:00:00,41.26,41.8,41.17,41.71,11100.0,123
2017-10-06 07:00:00,5.35,5.51,5.35,5.49,2764427.0,ZZZZZZ
2018-06-28 07:00:00,7.24,7.24,6.93,6.97,5075935.0,
2019-08-02 07:00:00,6.5,6.53,6.35,6.44,1774559.0,123
2019-09-25 07:00:00,6.67,6.7,6.61,6.64,1522720.0,123
2020-05-20 07:00:00,6.38,6.47,6.35,6.41,3116422.0,ZZZZZZ
2020-07-02 07:00:00,6.7,6.76,6.64,6.67,1070089.0,A@
2021-02-05 07:00:00,10.58,10.75,10.56,10.69,5610600.0,A@
2021-12-13 07:00:00,15.74,15.86,15.62,15.67,3012700.0,123
2022-05-19 07:00:00,13.32,13.6,13.18,13.42,1856400.0,???
2022-10-10 07:00:00,10.66,11.19,10.66,10.96,6473000.0,???
2023-07-14 07:00:00,15.48,15.51,15.3,15.44,6897700.0,123
2024-04-11 07:00:00,18.95,19.06,18.88,19.06,11286500.0,A@
2024-11-13 07:00:00,20.72,20.81,20.56,20.81,6390100.0,
