time,symbol,high
2024-08-14 07:00:00,ABT,37.81
2024-08-20 07:00:00,ABT,36.7
2024-08-22 07:00:00,ABT,37.59
2024-08-23 07:00:00,ABT,37.59
2024-08-27 07:00:00,ABT,37.59
2024-08-28 07:00:00,ABT,37.54
2024-08-29 07:00:00,ABT,37.14
2024-08-30 07:00:00,ABT,37.05
2024-09-04 07:00:00,ABT,37.5
2024-09-05 07:00:00,ABT,37.59
2024-09-09 07:00:00,ABT,37.5
2024-09-10 07:00:00,ABT,37.41
2024-09-11 07:00:00,ABT,37.41
2024-09-13 07:00:00,ABT,37.41
2024-09-16 07:00:00,ABT,38.93
2024-09-17 07:00:00,ABT,38.31
2024-09-19 07:00:00,ABT,36.78
2024-09-20 07:00:00,ABT,36.96
2024-09-23 07:00:00,ABT,37.14
2024-09-25 07:00:00,ABT,37.05
2024-12-27 07:00:00,ABT,37.46
2025-01-13 07:00:00,ABT,37.41
2025-01-21 07:00:00,ABT,36.61
2025-01-22 07:00:00,ABT,36.7
2025-01-23 07:00:00,ABT,36.61
2025-02-04 07:00:00,ABT,36.92
2025-02-05 07:00:00,ABT,36.7
2025-02-06 07:00:00,ABT,38.48
2025-02-07 07:00:00,ABT,38.4
2025-02-10 07:00:00,ABT,38.4
2025-02-11 07:00:00,ABT,37.59
2025-02-12 07:00:00,ABT,37.59
2025-02-13 07:00:00,ABT,37.5
2025-02-14 07:00:00,ABT,37.59
2025-02-17 07:00:00,ABT,37.59
2025-02-18 07:00:00,ABT,37.68
2025-02-19 07:00:00,ABT,37.95
2025-02-20 07:00:00,ABT,38.22
2025-02-21 07:00:00,ABT,40.72
2025-02-24 07:00:00,ABT,42.29
2025-02-25 07:00:00,ABT,44.57
2025-02-26 07:00:00,ABT,42.24
2025-02-27 07:00:00,123,41.8
2025-02-28 07:00:00,ABT,42.96
2025-03-03 07:00:00,ABT,42.42
2025-03-04 07:00:00,ABT,42.69
2025-03-05 07:00:00,ABT,44.53
2025-03-06 07:00:00,ABT,45.74
2025-03-07 07:00:00,ABT,45.64
2025-03-10 07:00:00,ABT,44.39
2025-03-11 07:00:00,ABT,45.82
2025-03-12 07:00:00,ABT,44.66
2025-03-13 07:00:00,ABT,44.12
2025-03-14 07:00:00,ABT,44.03
2025-03-17 07:00:00,ABT,44.57
2025-03-18 07:00:00,ABT,43.43
2025-03-19 07:00:00,ABT,44.38
2025-03-20 07:00:00,ABT,44.38
2025-03-21 07:00:00,ABT,43.52
2025-03-24 07:00:00,ABT,42.8
2025-03-25 07:00:00,ABT,43.33
2025-03-26 07:00:00,ABT,43.24
2025-03-27 07:00:00,ABT,43.9
2025-03-28 07:00:00,ABT,43.76
2025-03-31 07:00:00,ABT,43.43
2025-04-01 07:00:00,ABT,43.43
2025-04-02 07:00:00,ABT,43.81
