time,symbol,low
2024-08-14 07:00:00,ABT,37.81
2024-08-15 07:00:00,ABT,35.8
2024-08-16 07:00:00,ABT,35.44
2024-08-19 07:00:00,ABT,35.53
2024-08-20 07:00:00,ABT,36.7
2024-08-21 07:00:00,ABT,36.87
2024-08-22 07:00:00,ABT,36.38
2024-08-23 07:00:00,ABT,37.1
2024-08-27 07:00:00,ABT,36.25
2024-08-28 07:00:00,ABT,37.5
2024-08-29 07:00:00,ABT,36.34
2024-08-30 07:00:00,ABT,35.98
2024-09-04 07:00:00,ABT,37.5
2024-09-05 07:00:00,ABT,37.14
2024-09-09 07:00:00,ABT,37.46
2024-09-10 07:00:00,ABT,36.83
2024-09-11 07:00:00,ABT,37.41
2024-09-13 07:00:00,ABT,36.25
2024-09-16 07:00:00,ABT,38.93
2024-09-17 07:00:00,ABT,36.34
2024-09-20 07:00:00,ABT,35.8
2024-09-27 07:00:00,ABT,35.8
2024-10-03 07:00:00,ABT,35.67
2024-10-04 07:00:00,ABT,35.76
2024-10-07 07:00:00,ABT,35.44
2024-10-10 07:00:00,???,35.8
2024-10-23 07:00:00,ABT,35.53
2024-10-25 07:00:00,ABT,35.53
2024-10-31 07:00:00,ABT,35.67
2024-11-06 07:00:00,ABT,35.4
2024-11-13 07:00:00,ABT,35.67
2024-11-22 07:00:00,ABT,35.4
2024-12-04 07:00:00,ABT,35.76
2025-01-23 07:00:00,ABT,35.71
2025-02-03 07:00:00,ABT,37.1
2025-02-04 07:00:00,ABT,35.76
2025-02-05 07:00:00,ABT,35.8
2025-02-06 07:00:00,ABT,36.61
2025-02-07 07:00:00,ABT,37.54
2025-02-10 07:00:00,ABT,37.59
2025-02-11 07:00:00,ABT,36.96
2025-02-12 07:00:00,ABT,37.23
2025-02-13 07:00:00,ABT,37.41
2025-02-14 07:00:00,ABT,37.32
2025-02-17 07:00:00,ABT,37.14
2025-02-18 07:00:00,ABT,37.28
2025-02-19 07:00:00,ABT,37.54
2025-02-20 07:00:00,ABT,37.95
2025-02-21 07:00:00,ABT,38.66
2025-02-24 07:00:00,ABT,39.65
2025-02-25 07:00:00,ABT,42.29
2025-02-26 07:00:00,ABT,41.12
2025-02-27 07:00:00,123,41.17
2025-02-28 07:00:00,ABT,41.71
2025-03-03 07:00:00,ABT,41.62
2025-03-04 07:00:00,ABT,41.71
2025-03-05 07:00:00,ABT,42.51
2025-03-06 07:00:00,ABT,44.08
2025-03-07 07:00:00,ABT,43.14
2025-03-10 07:00:00,ABT,43.5
2025-03-11 07:00:00,ABT,43.54
2025-03-12 07:00:00,ABT,44.03
2025-03-13 07:00:00,ABT,43.41
2025-03-14 07:00:00,ABT,43.14
2025-03-17 07:00:00,ABT,42.04
2025-03-18 07:00:00,ABT,43.19
2025-03-19 07:00:00,ABT,43.14
2025-03-20 07:00:00,ABT,43.62
2025-03-21 07:00:00,ABT,42.66
2025-03-24 07:00:00,ABT,41.33
2025-03-25 07:00:00,ABT,42.47
2025-03-26 07:00:00,ABT,42.28
2025-03-27 07:00:00,ABT,43.24
2025-03-28 07:00:00,ABT,43.24
2025-03-31 07:00:00,ABT,43.24
2025-04-01 07:00:00,ABT,43.24
2025-04-02 07:00:00,ABT,43.28
2025-04-03 07:00:00,ABT,40.52
2025-04-04 07:00:00,ABT,37.7
2025-04-08 07:00:00,ABT,36.94
2025-04-10 07:00:00,ABT,41.56
2025-04-11 07:00:00,ABT,39.03
2025-04-14 07:00:00,ABT,39.94
2025-04-15 07:00:00,ABT,39.61
2025-04-16 07:00:00,ABT,39.32
2025-04-17 07:00:00,ABT,39.47
2025-04-18 07:00:00,ABT,39.94
2025-04-21 07:00:00,ABT,38.42
2025-04-22 07:00:00,ABT,39.13
2025-04-23 07:00:00,ABT,40.28
2025-04-24 07:00:00,ABT,40.75
2025-04-25 07:00:00,ABT,41.42
2025-04-28 07:00:00,ABT,41.23
2025-04-29 07:00:00,ABT,41.04
2025-05-05 07:00:00,ABT,40.28
2025-05-06 07:00:00,ABT,40.8
2025-05-07 07:00:00,ABT,41.33
2025-05-08 07:00:00,ABT,41.33
2025-05-09 07:00:00,ABT,41.71
2025-05-12 07:00:00,ABT,41.71
2025-05-13 07:00:00,ABT,42.09
2025-05-14 07:00:00,ABT,43.19
2025-05-15 07:00:00,ABT,42.95
2025-05-16 07:00:00,ABT,43.19
2025-05-19 07:00:00,ABT,43.09
2025-05-20 07:00:00,ABT,43.38
2025-05-21 07:00:00,ABT,43.76
2025-05-23 07:00:00,ABT,44.19
2025-05-26 07:00:00,ABT,44.86
2025-05-27 07:00:00,ABT,45.72
2025-05-28 07:00:00,ABT,46.81
2025-05-29 07:00:00,ABT,46.86
2025-05-30 07:00:00,ABT,46.86
2025-06-02 07:00:00,ABT,45.33
2025-06-03 07:00:00,ABT,45.81
2025-06-04 07:00:00,ABT,45.86
2025-06-05 07:00:00,ABT,45.43
2025-06-06 07:00:00,ABT,45.76
2025-06-09 07:00:00,ABT,45.19
2025-06-10 07:00:00,ABT,45.72
2025-06-11 07:00:00,ABT,45.05
2025-06-12 07:00:00,ABT,45.14
2025-06-13 07:00:00,ABT,44.57
2025-06-16 07:00:00,ABT,44.57
2025-06-17 07:00:00,ABT,44.57
2025-06-18 07:00:00,ABT,44.52
2025-06-19 07:00:00,ABT,44.67
2025-06-20 07:00:00,ABT,45.72
2025-06-23 07:00:00,ABT,46.67
2025-06-24 07:00:00,ABT,44.95
2025-06-25 07:00:00,ABT,46.67
2025-06-26 07:00:00,ABT,47.62
2025-06-27 07:00:00,ABT,47.72
2025-06-30 07:00:00,ABT,47.58
2025-07-01 07:00:00,ABT,46.67
2025-07-02 07:00:00,ABT,46.29
2025-07-03 07:00:00,ABT,46.62
2025-07-04 07:00:00,ABT,46.62
2025-07-07 07:00:00,ABT,46.53
2025-07-08 07:00:00,ABT,46.67
2025-07-09 07:00:00,ABT,46.77
2025-07-10 07:00:00,ABT,46.86
2025-07-11 07:00:00,ABT,47.24
2025-07-14 07:00:00,ABT,47.48
2025-07-15 07:00:00,ABT,46.86
2025-07-16 07:00:00,ABT,46.91
2025-07-17 07:00:00,ABT,47.24
2025-07-18 07:00:00,ABT,47.67
2025-07-21 07:00:00,ABT,48.58
2025-07-22 07:00:00,ABT,47.82
2025-07-23 07:00:00,ABT,47.82
2025-07-24 07:00:00,ABT,48.96
2025-07-28 07:00:00,ABT,54.02
2025-07-29 07:00:00,ABT,56.31
2025-07-30 07:00:00,ABT,57.17
2025-07-31 07:00:00,ABT,62.04
2025-08-01 07:00:00,ABT,62.99
2025-08-04 07:00:00,ABT,62.32
2025-08-05 07:00:00,ABT,63.94
2025-08-06 07:00:00,ABT,60.13
2025-08-07 07:00:00,ABT,61.08
2025-08-08 07:00:00,ABT,59.17
2025-08-11 07:00:00,ABT,60.51
2025-08-12 07:00:00,ABT,60.41
2025-08-13 07:00:00,ABT,59.75
2025-08-14 07:00:00,ABT,59.94
2025-08-15 07:00:00,ABT,59.27
2025-08-18 07:00:00,ABT,59.65
2025-08-19 07:00:00,ABT,59.17
2025-08-20 07:00:00,ABT,58.79
2025-08-21 07:00:00,ABT,58.22
2025-08-22 07:00:00,ABT,57.07
2025-08-25 07:00:00,ABT,57.26
2025-08-26 07:00:00,ABT,58.12
2025-08-27 07:00:00,ABT,58.41
2025-08-28 07:00:00,ABT,59.84
2025-09-03 07:00:00,ABT,61.08
2025-09-04 07:00:00,ABT,61.08
2025-09-05 07:00:00,ABT,61.66
2025-09-08 07:00:00,ABT,60.89
2025-09-09 07:00:00,ABT,61.56
2025-09-10 07:00:00,ABT,62.13
2025-09-11 07:00:00,ABT,62.51
2025-09-12 07:00:00,ABT,64.04
2025-09-15 07:00:00,ABT,66.04
2025-09-16 07:00:00,ABT,69.77
2025-09-17 07:00:00,ABT,68.91
2025-09-18 07:00:00,ABT,68.91
2025-09-19 07:00:00,ABT,69.86
2025-09-22 07:00:00,ABT,68.62
2025-09-23 07:00:00,ABT,69.1
2025-09-24 07:00:00,ABT,68.81
2025-09-25 07:00:00,ABT,65.85
2025-09-26 07:00:00,ABT,68.24
2025-09-29 07:00:00,ABT,68.62
2025-09-30 07:00:00,ABT,63.94
2025-10-01 07:00:00,ABT,64.04
