time,symbol,open
2019-08-29 07:00:00,ABR,-14.18
2019-09-03 07:00:00,ABR,-13.83
2021-01-05 07:00:00,ABR,-17.64
2021-07-29 07:00:00,ABR,-14.6
2021-08-10 07:00:00,ABR,-15.63
2025-11-06 07:00:00,ABR,-13.45
2016-04-13 07:00:00,ABT,-24.87
2017-04-20 07:00:00,ABT,-22.3
2017-09-05 07:00:00,ABT,-20.89
2018-02-02 07:00:00,ABT,-18.23
2018-06-08 07:00:00,ABT,-21.44
2018-08-22 07:00:00,ABT,-21.32
2019-08-12 07:00:00,ABT,-24.57
2019-12-10 07:00:00,ABT,-24.06
2020-03-02 07:00:00,ABT,-22.82
2020-04-14 07:00:00,ABT,-22.8
2020-05-12 07:00:00,ABT,-23.51
2020-12-23 07:00:00,ABT,-22.09
2021-08-11 07:00:00,ABT,-20.15
2021-10-22 07:00:00,ABT,-25.74
2022-07-01 07:00:00,ABT,-28.91
2022-09-14 07:00:00,ABT,-28.79
2022-12-01 07:00:00,ABT,-25.38
2023-03-10 07:00:00,ABT,-28.37
2024-02-23 07:00:00,ABT,-29.59
2024-08-13 07:00:00,ABT,36.2
2024-08-14 07:00:00,ABT,37.81
2024-08-20 07:00:00,ABT,36.7
2024-08-22 07:00:00,ABT,37.59
2024-08-23 07:00:00,ABT,37.1
2024-08-27 07:00:00,ABT,36.34
2024-08-28 07:00:00,ABT,37.5
2024-08-29 07:00:00,ABT,36.34
2024-08-30 07:00:00,ABT,36.25
2024-09-04 07:00:00,ABT,37.5
2024-09-05 07:00:00,ABT,37.14
2024-09-09 07:00:00,ABT,37.46
2024-09-10 07:00:00,ABT,36.83
2024-09-11 07:00:00,ABT,37.41
2024-09-13 07:00:00,ABT,36.25
2024-09-16 07:00:00,ABT,38.93
2024-09-17 07:00:00,ABT,38.31
2024-09-19 07:00:00,ABT,36.7
2024-09-20 07:00:00,ABT,36.29
2024-09-23 07:00:00,ABT,35.89
2025-01-23 07:00:00,ABT,36.61
2025-01-24 07:00:00,ABT,36.43
2025-02-03 07:00:00,ABT,36.25
2025-02-04 07:00:00,ABT,35.84
2025-02-05 07:00:00,ABT,36.07
2025-02-06 07:00:00,ABT,36.61
2025-02-07 07:00:00,ABT,37.59
2025-02-10 07:00:00,ABT,38.4
2025-02-11 07:00:00,ABT,37.14
2025-02-12 07:00:00,ABT,37.59
2025-02-13 07:00:00,ABT,37.5
2025-02-14 07:00:00,ABT,37.41
2025-02-17 07:00:00,ABT,37.23
2025-02-18 07:00:00,ABT,37.32
2025-02-19 07:00:00,ABT,37.59
2025-02-20 07:00:00,ABT,37.95
2025-02-21 07:00:00,ABT,38.66
2025-02-24 07:00:00,ABT,39.65
2025-02-25 07:00:00,ABT,44.57
2025-02-26 07:00:00,ABT,42.24
2025-02-27 07:00:00,123,41.26
2025-02-28 07:00:00,ABT,41.98
2025-03-03 07:00:00,ABT,42.42
2025-03-04 07:00:00,ABT,42.42
2025-03-05 07:00:00,ABT,42.51
2025-03-06 07:00:00,ABT,44.08
2025-03-07 07:00:00,ABT,44.75
2025-03-10 07:00:00,ABT,44.39
2025-03-11 07:00:00,ABT,43.59
2025-03-12 07:00:00,ABT,44.66
2025-03-13 07:00:00,ABT,44.12
2025-03-14 07:00:00,ABT,43.68
2025-03-17 07:00:00,ABT,42.04
2025-03-18 07:00:00,ABT,43.43
2025-03-19 07:00:00,ABT,43.14
2025-03-20 07:00:00,ABT,44.38
2025-03-21 07:00:00,ABT,43.47
2025-03-24 07:00:00,ABT,42.8
2025-03-25 07:00:00,ABT,42.47
2025-03-26 07:00:00,ABT,43.24
2025-03-27 07:00:00,ABT,43.24
2025-03-28 07:00:00,ABT,43.76
2025-03-31 07:00:00,ABT,43.33
2025-04-01 07:00:00,ABT,43.24
2025-04-02 07:00:00,ABT,43.28
2025-04-03 07:00:00,ABT,41.52
2025-04-04 07:00:00,ABT,37.7
2025-04-08 07:00:00,ABT,39.7
2025-04-09 07:00:00,ABT,36.94
2025-04-10 07:00:00,ABT,41.66
2025-04-11 07:00:00,ABT,41.99
2025-04-14 07:00:00,ABT,41.23
2025-04-15 07:00:00,ABT,39.99
2025-04-16 07:00:00,ABT,39.32
2025-04-17 07:00:00,ABT,39.61
2025-04-18 07:00:00,ABT,39.94
2025-04-21 07:00:00,ABT,38.42
2025-04-22 07:00:00,ABT,40.56
2025-04-23 07:00:00,ABT,40.32
2025-04-24 07:00:00,ABT,42.71
2025-04-25 07:00:00,ABT,41.52
2025-04-28 07:00:00,ABT,41.52
2025-04-29 07:00:00,ABT,41.23
2025-05-05 07:00:00,ABT,40.28
2025-05-06 07:00:00,ABT,40.85
2025-05-07 07:00:00,ABT,41.33
2025-05-08 07:00:00,ABT,41.33
2025-05-09 07:00:00,ABT,41.71
2025-05-12 07:00:00,ABT,41.71
2025-05-13 07:00:00,ABT,42.14
2025-05-14 07:00:00,ABT,43.33
2025-05-15 07:00:00,ABT,42.95
2025-05-16 07:00:00,ABT,43.62
2025-05-19 07:00:00,ABT,43.09
2025-05-20 07:00:00,ABT,43.81
2025-05-21 07:00:00,ABT,43.9
2025-05-23 07:00:00,ABT,44.19
2025-05-26 07:00:00,ABT,44.86
2025-05-27 07:00:00,ABT,45.81
2025-05-28 07:00:00,ABT,47.43
2025-05-29 07:00:00,ABT,46.91
2025-05-30 07:00:00,ABT,47.0
2025-06-02 07:00:00,ABT,45.33
2025-06-03 07:00:00,ABT,45.81
2025-06-04 07:00:00,ABT,45.96
2025-06-05 07:00:00,ABT,45.43
2025-06-06 07:00:00,ABT,45.76
2025-06-09 07:00:00,ABT,45.19
2025-06-10 07:00:00,ABT,45.72
2025-06-11 07:00:00,ABT,45.62
2025-06-12 07:00:00,ABT,45.14
2025-06-13 07:00:00,ABT,44.67
2025-06-16 07:00:00,ABT,44.57
2025-06-17 07:00:00,ABT,44.67
2025-06-18 07:00:00,ABT,44.52
2025-06-19 07:00:00,ABT,44.67
2025-06-20 07:00:00,ABT,45.72
2025-06-23 07:00:00,ABT,46.72
2025-06-24 07:00:00,ABT,45.05
2025-06-25 07:00:00,ABT,46.67
2025-06-26 07:00:00,ABT,47.72
2025-06-27 07:00:00,ABT,47.72
2025-06-30 07:00:00,ABT,47.82
2025-07-01 07:00:00,ABT,47.82
2025-07-02 07:00:00,ABT,46.77
2025-07-03 07:00:00,ABT,47.24
2025-07-04 07:00:00,ABT,46.62
2025-07-07 07:00:00,ABT,46.77
