symbol,row_count
VPH,2692
MBB,2688
DBC,2686
SHS,2682
DCL,2681
JVC,2678
TTF,2678
VCG,2678
TDC,2677
CTI,2676
PVT,2676
DGW,2674
MSN,2672
HHG,2670
PHC,2670
VIG,2670
ACB,2668
IDI,2668
L14,2668
HAG,2667
HAP,2667
SAM,2667
TNT,2666
DLG,2665
DPR,2665
CSM,2664
IMP,2663
PTL,2663
STB,2663
CSV,2656
KMR,2656
VNG,2652
D2D,2649
S99,2647
NLG,2640
GSP,2639
APG,2638
BVS,2636
DHA,2636
VHC,2636
ELC,2635
UDC,2634
DST,2633
NAF,2633
SHN,2631
VOS,2630
DHM,2629
SBA,2629
HT1,2628
ANV,2626
FCN,2622
TMT,2622
ASM,2619
CTG,2618
NHA,2611
VEF,2610
KDC,2609
MCG,2608
CSC,2604
DGC,2598
BTP,2595
ITD,2588
KSQ,2585
FCM,2568
VE9,2568
SWC,2567
TRC,2565
THG,2562
SAS,2560
IJC,2559
VSH,2559
HDG,2556
ACC,2552
SRF,2549
DRH,2540
VDS,2534
THT,2533
IDV,2532
SFI,2528
PGD,2525
SAV,2503
VNP,2494
HCD,2490
UIC,2484
HID,2483
ACL,2478
NSC,2468
NAG,2462
VNR,2456
LBM,2455
CTP,2443
VCA,2438
GHC,2428
LHC,2416
NDX,2416
PSB,2415
ICG,2411
PVO,2411
PV2,2410
VLC,2410
TVN,2404
PC1,2401
ONE,2385
ACV,2384
MAC,2373
DXV,2366
NVL,2357
UNI,2352
PXI,2348
DBD,2336
VJC,2333
GMC,2308
MCO,2299
BHN,2291
SD6,2288
DVN,2267
VRG,2266
CDN,2265
VFG,2264
MIG,2259
EVG,2258
DRI,2256
PXS,2241
STG,2239
DAG,2236
VCI,2235
BTS,2226
PTI,2226
SCL,2226
SD2,2226
CVT,2220
HAC,2210
TXM,2210
VCC,2201
PLP,2193
VMD,2191
TCW,2189
RIC,2183
SBV,2180
HU3,2176
VNL,2175
TBC,2173
HBS,2172
SVC,2166
LDP,2161
ABT,2157
BLI,2157
MPC,2151
CTR,2146
VRE,2132
DTL,2127
VSI,2117
SD3,2111
HDB,2110
VPG,2094
CIA,2086
HAS,2086
EIN,2074
SMT,2070
TTN,2069
ILA,2068
PGT,2067
BAB,2064
OIL,2064
POW,2061
PIC,2058
AFX,2056
VCP,2055
BCM,2054
TDS,2047
PTS,2044
POS,2039
TPB,2038
VKC,2035
NHH,2034
TFC,2033
FRT,2027
PVL,2019
VHM,2012
SMA,2009
CLX,1996
SC5,1996
TDT,1978
VLB,1978
QNC,1970
CCI,1961
APF,1960
DIH,1954
CRE,1947
XPH,1929
EVS,1911
DSC,1905
VHL,1896
MCF,1893
VTA,1871
PPH,1862
SSN,1855
CDO,1854
PGV,1846
HPX,1843
TNC,1837
FDC,1835
ALV,1834
VIF,1825
NHT,1809
PCT,1809
VNH,1804
DAT,1793
SID,1786
APP,1769
TTC,1761
ACM,1760
SD4,1753
AGP,1749
HMS,1747
SJM,1745
TTZ,1729
FTM,1713
PVV,1705
SAC,1700
VBB,1678
EBS,1677
