Top_K,Min_Volume,Min_Close,Min_Predicted_Return,Transaction_Cost_Rate,Slippage_Rate,Round_Trip_Cost_Rate,Eligible_Rows,Eligible_Symbols,Backtest_Days,Trade_Days,Average_Daily_Return,Average_Daily_Return_Net,Cumulative_Return,Cumulative_Return_Net,Benchmark_Cumulative_Return,Hit_Rate,Sharpe_Ratio,Sharpe_Ratio_Net
20,100000,10.0,0.004,0.001,0.001,0.004,26511,198,393,393,0.0034044055553107007,-0.0005955944446892995,2.2060264945590293,-0.33378911812760803,0.18790188572881017,57.25190839694656,1.8423544290038947,-0.3223164940944593
10,100000,10.0,0.004,0.001,0.001,0.004,26511,198,393,393,0.00337883692720034,-0.0006211630727996611,2.1618782468320057,-0.343008879826574,0.18790188572881017,54.961832061068705,1.806021794886136,-0.3320178131781484
20,50000,10.0,0.004,0.001,0.001,0.004,31304,225,393,393,0.002809307856395771,-0.0011906921436042291,1.6031604564454507,-0.4594603298691886,0.0895727072130299,54.19847328244275,1.6453923404888569,-0.6973802207210478
10,100000,10.0,0.0,0.001,0.001,0.004,26511,198,393,393,0.0028556134602673133,-0.0011443865397326872,1.6023031918723412,-0.4596795312000057,0.18790188572881017,55.216284987277355,1.5743532561066451,-0.6309217616953378
20,100000,10.0,0.0,0.001,0.001,0.004,26511,198,393,393,0.0027191609100318662,-0.0012808390899681345,1.5062553297640373,-0.47966814589667883,0.18790188572881017,53.18066157760815,1.5812668944506905,-0.7448431766626217
10,50000,10.0,0.004,0.001,0.001,0.004,31304,225,393,393,0.0025948032142050982,-0.0014051967857949027,1.373992369902088,-0.5072433918279781,0.0895727072130299,51.653944020356235,1.4759974785911203,-0.7993156866013057
20,50000,10.0,0.0,0.001,0.001,0.004,31304,225,393,393,0.0024864367069148937,-0.0015135632930851066,1.325802351773393,-0.5172436879958782,0.0895727072130299,52.41730279898219,1.5320871428389415,-0.9326241262283748
10,50000,10.0,0.0,0.001,0.001,0.004,31304,225,393,393,0.0024521540828149244,-0.0015478459171850759,1.2497030453484972,-0.5331379177021839,0.0895727072130299,50.89058524173028,1.4047057487735204,-0.8866767685289867
5,100000,10.0,0.004,0.001,0.001,0.004,26511,198,393,393,0.0025644028737565323,-0.0014355971262434684,1.1805026563363707,-0.5476950896696517,0.18790188572881017,53.68956743002544,1.201915933093423,-0.6728533481198137
20,200000,10.0,0.0,0.001,0.001,0.004,22502,159,393,393,0.002390315365007652,-0.001609684634992348,1.1659615575410975,-0.550612381543698,0.22999887777512873,54.4529262086514,1.317459790835668,-0.8872029245905041
5,100000,10.0,0.0,0.001,0.001,0.004,26511,198,393,393,0.002511105432967246,-0.0014888945670327549,1.1435332722890967,-0.5553868650261757,0.18790188572881017,53.9440203562341,1.186451495966125,-0.7034755144886382
10,200000,10.0,0.0,0.001,0.001,0.004,22502,159,393,393,0.00238139890074524,-0.0016186010992547597,1.1385799638442315,-0.5563310590232601,0.22999887777512873,53.18066157760815,1.273757047641652,-0.8657535521877838
10,200000,10.0,0.004,0.001,0.001,0.004,22502,159,393,393,0.002399686195061703,-0.001600313804938297,1.0890758556359326,-0.5666972801003008,0.22999887777512873,54.961832061068705,1.1852587539877162,-0.7904308281365658
20,200000,10.0,0.004,0.001,0.001,0.004,22502,159,393,393,0.0022697529043567157,-0.0017302470956432848,0.9926109200086284,-0.586778357210376,0.22999887777512873,56.234096692111954,1.132710440784122,-0.8634723835399215
10,100000,10.0,0.01,0.001,0.001,0.004,26511,198,393,386,0.002342720962636531,-0.0015860322180250475,0.8922363511030094,-0.5966387422533714,0.18790188572881017,50.12722646310432,0.9808580421910557,-0.6640576178808688
20,100000,10.0,0.01,0.001,0.001,0.004,26511,198,393,386,0.0023376719090240907,-0.001591081271637488,0.8917203336870752,-0.596746685575291,0.18790188572881017,50.12722646310432,0.982049944504279,-0.6684216236350263
5,200000,10.0,0.004,0.001,0.001,0.004,22502,159,393,393,0.0020931951037706205,-0.0019068048962293804,0.7773891466747551,-0.6316465852038033,0.22999887777512873,52.67175572519084,0.9429068641464865,-0.8589449793782032
5,100000,10.0,0.01,0.001,0.001,0.004,26511,198,393,386,0.002133284998399773,-0.0017954681822618056,0.7282522613496201,-0.6317413455885084,0.18790188572881017,49.10941475826972,0.8801727613933732,-0.740798847335527
5,200000,10.0,0.0,0.001,0.001,0.004,22502,159,393,393,0.0020544797780235073,-0.0019455202219764932,0.7710743173273864,-0.6329420748261341,0.22999887777512873,53.43511450381679,0.9471015434571055,-0.896871911211318
10,50000,10.0,0.01,0.001,0.001,0.004,31304,225,393,388,0.0016909820273182086,-0.0022581273874400618,0.5379043771319798,-0.6749964731387268,0.0895727072130299,49.10941475826972,0.7809561578882288,-1.0428714588191248
20,50000,10.0,0.01,0.001,0.001,0.004,31304,225,393,388,0.0016699392530356066,-0.0022791701617226635,0.528997399616767,-0.676883435479709,0.0895727072130299,49.36386768447837,0.7758122355083326,-1.0588316665382738
5,50000,10.0,0.01,0.001,0.001,0.004,31304,225,393,388,0.0016299830420925584,-0.0023191263726657124,0.48405617403287504,-0.6864360830831228,0.0895727072130299,49.10941475826972,0.7347931392509033,-1.0454427716958705
20,200000,10.0,0.01,0.001,0.001,0.004,22502,159,393,383,0.0015989143611299485,-0.0022993044683865937,0.3678558004623125,-0.7053153765474571,0.22999887777512873,48.346055979643765,0.634152143972407,-0.9119164668005221
10,200000,10.0,0.01,0.001,0.001,0.004,22502,159,393,383,0.001559294882731742,-0.002338923946784799,0.342827263490578,-0.7107320921047158,0.22999887777512873,48.346055979643765,0.6154366625892276,-0.9231250420766669
5,50000,10.0,0.004,0.001,0.001,0.004,31304,225,393,393,0.001329101416168997,-0.002670898583831004,0.3600651039928988,-0.7183990612371471,0.0895727072130299,52.926208651399484,0.6415980754885229,-1.289324780158914
5,50000,10.0,0.0,0.001,0.001,0.004,31304,225,393,393,0.0013208654111280251,-0.0026791345888719756,0.3561748463590477,-0.7192073414361156,0.0895727072130299,52.926208651399484,0.6381709693555794,-1.2944134226017467
5,200000,10.0,0.01,0.001,0.001,0.004,22502,159,393,383,0.0012401280819962083,-0.002658090747520333,0.1732492102860983,-0.7474088532184879,0.22999887777512873,47.58269720101781,0.48211678368374716,-1.0333243644080337
10,50000,10.0,0.02,0.001,0.001,0.004,31304,225,393,367,0.001191098342489102,-0.0025442706142539025,0.026577735333823238,-0.7645833378987527,0.0895727072130299,47.32824427480916,0.39816505706387706,-0.8504411366467777
5,100000,10.0,0.02,0.001,0.001,0.004,26511,198,393,361,0.0010965775959855756,-0.002577722658467352,-0.0032775240725138044,-0.7658883795211888,0.18790188572881017,47.837150127226465,0.370432869377639,-0.8706804322483461
5,50000,10.0,0.02,0.001,0.001,0.004,31304,225,393,367,0.0011422069677381737,-0.002593161989004831,0.01163515885494082,-0.768019796209928,0.0895727072130299,47.58269720101781,0.3839975292044201,-0.8717175397586864
20,100000,10.0,0.02,0.001,0.001,0.004,26511,198,393,361,0.0010522215675644174,-0.002622078686888511,-0.020789985795534482,-0.7700183111506533,0.18790188572881017,47.837150127226465,0.35528827125917734,-0.885256323844631
5,50000,5.0,0.02,0.001,0.001,0.004,38938,282,393,391,0.0011281284786694012,-0.0028515152872339074,0.10199671529844911,-0.7703108123213864,-0.17740318868045735,47.07379134860051,0.42648910032462667,-1.0780049287045812
10,50000,5.0,0.02,0.001,0.001,0.004,38938,282,393,391,0.0010805653471388228,-0.0028990784187644877,0.10188765733073746,-0.7703169207873795,-0.17740318868045735,47.58269720101781,0.42034024233902334,-1.1277298037493968
20,50000,10.0,0.02,0.001,0.001,0.004,31304,225,393,367,0.001119724896446136,-0.002615644060296869,0.0005364476534868157,-0.7705768792536303,0.0895727072130299,47.32824427480916,0.3754002351569968,-0.8768461798379213
10,100000,10.0,0.02,0.001,0.001,0.004,26511,198,393,361,0.0010466195808149495,-0.002627680673637979,-0.024553307776571387,-0.7709071614871513,0.18790188572881017,47.837150127226465,0.35268297228893125,-0.8853555513774312
20,50000,5.0,0.02,0.001,0.001,0.004,38938,282,393,391,0.0009206618939606847,-0.0030589818719426237,0.03787228086823857,-0.7837102126659263,-0.17740318868045735,47.58269720101781,0.35990457464727976,-1.1957994672046786
20,200000,5.0,0.0,0.001,0.001,0.004,26420,197,393,393,0.0005265590394882281,-0.0034734409605117725,0.025146210388216517,-0.7879575314523262,-0.06038136208490308,51.14503816793893,0.2769264060562167,-1.8267420169594921
