feature,importance
close,0.39615008
high,0.19007231
low,0.1454358
open,0.08009836
ma_5,0.06841338
volume_ma_20,0.020404188
volume_ma_5,0.014665776
ma_50,0.0117371315
encode_sector,0.010477823
rolling_max_20d,0.0104050925
ma_20,0.01036719
return_20d,0.010329559
volatility_20d,0.008479869
daily_range,0.005431371
return_10d,0.0036362712
volatility_5d,0.0024810724
volume,0.0022467165
price_vs_ma20,0.0018335346
drawdown_20d,0.0017432692
return_5d,0.0016114599
ma5_vs_ma20,0.0010921354
return_3d,0.00079919735
volume_ratio_5_20,0.0006247091
return_1d,0.00055208534
volume_change_1d,0.0003597845
volatility_change,0.00027077363
close_position,0.00018032102
body_ratio,0.000100679645
