model_run_id,prediction_date,rank,target_date,symbol,real_close,predicted_close,actual_return,predicted_return,direction_correct,model_name,created_at
7b9c460a-580e-404a-b04b-56b29c2dcb76,2024-10-30,1,2024-11-06,CTR,122.16,138.94012,-0.02193755004003206,0.11241092483361692,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2024-10-30,2,2024-11-20,NDC,126.68,126.063225,0.08329057636394732,0.07801628863075494,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2024-10-30,3,2024-11-06,HAV,3.9,3.6085868,0.1470588235294117,0.061349055346320736,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2024-10-30,4,2024-11-06,EIN,2.6,2.7561915,0.0,0.06007365080026483,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2024-10-30,5,2024-11-06,DLG,1.93,2.1486168,-0.049261083743842304,0.05843191663619929,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2024-10-30,6,2024-11-06,MCG,1.9,2.0099425,0.0,0.057864490308259686,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2024-10-30,7,2024-11-08,BTN,2.8,2.6363335,0.11999999999999988,0.05453338623046866,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2024-10-30,8,2024-11-06,PXI,2.0,2.1829183,-0.04761904761904767,0.039484909602574,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2024-10-30,9,2024-11-06,HHG,1.5,1.6621231,-0.0625,0.03882692754268646,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2024-10-30,10,2024-11-06,SD6,3.0,3.1153438,0.0,0.0384479363759358,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2024-10-31,1,2024-11-07,CTR,125.09,137.26576,0.010256824422548938,0.1085911995566271,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2024-10-31,2,2024-11-07,HHG,1.5,1.6307179,0.0,0.08714524904886889,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2024-10-31,3,2024-11-07,PXI,2.1,2.1378965,0.050000000000000044,0.06894826889038086,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2024-10-31,4,2024-11-07,DTI,2.2,2.4337409,-0.04347826086956508,0.05814819750578515,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2024-10-31,5,2024-11-07,MCG,2.0,2.0099425,0.05263157894736836,0.057864490308259686,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2024-10-31,6,2024-11-07,PV2,2.6,2.7327414,0.0,0.05105436765230609,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2024-10-31,7,2024-11-07,VE9,2.0,2.203869,-0.04761904761904767,0.04946147827875036,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2024-10-31,8,2024-11-07,DLG,1.93,2.024129,0.0,0.048771457968598275,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2024-10-31,9,2024-11-07,HAV,3.5,3.5535152,0.02941176470588247,0.04515152819016399,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2024-10-31,10,2024-12-30,VFC,102.24,92.92193,0.14953901506633693,0.04477095126784025,1,model1,2026-06-15 06:49:36
