model_run_id,insight_date,insight_type,source_model,symbol,sector,severity,metric_name,metric_value,title,message,created_at
e292c991-2fb1-4c56-b1b3-72ab3cf7428c,2026-05-28,model1,model1,VVS,,success,expected_return_5d,0.45040150177784466,Model1 top expected return #1: VVS,VVS ranks #1 by model1 predicted 5-session return at 45.04%.,2026-06-11 11:33:24
e292c991-2fb1-4c56-b1b3-72ab3cf7428c,2026-05-28,model1,model1,HHG,,success,expected_return_5d,0.30532577633857727,Model1 top expected return #2: HHG,HHG ranks #2 by model1 predicted 5-session return at 30.53%.,2026-06-11 11:33:24
e292c991-2fb1-4c56-b1b3-72ab3cf7428c,2026-05-28,model1,model1,DRH,,success,expected_return_5d,0.10419947525550599,Model1 top expected return #3: DRH,DRH ranks #3 by model1 predicted 5-session return at 10.42%.,2026-06-11 11:33:24
e292c991-2fb1-4c56-b1b3-72ab3cf7428c,2026-05-28,model1,model1,GPC,,success,expected_return_5d,0.08804640017057719,Model1 top expected return #4: GPC,GPC ranks #4 by model1 predicted 5-session return at 8.80%.,2026-06-11 11:33:24
e292c991-2fb1-4c56-b1b3-72ab3cf7428c,2026-05-28,model1,model1,EIN,,success,expected_return_5d,0.08290531418540259,Model1 top expected return #5: EIN,EIN ranks #5 by model1 predicted 5-session return at 8.29%.,2026-06-11 11:33:24
e292c991-2fb1-4c56-b1b3-72ab3cf7428c,2026-05-28,model1,model1,TTF,,success,expected_return_5d,0.07424227814925355,Model1 top expected return #6: TTF,TTF ranks #6 by model1 predicted 5-session return at 7.42%.,2026-06-11 11:33:24
e292c991-2fb1-4c56-b1b3-72ab3cf7428c,2026-05-28,model1,model1,PV2,,success,expected_return_5d,0.07335007190704346,Model1 top expected return #7: PV2,PV2 ranks #7 by model1 predicted 5-session return at 7.34%.,2026-06-11 11:33:24
e292c991-2fb1-4c56-b1b3-72ab3cf7428c,2026-05-28,model1,model1,MCG,,success,expected_return_5d,0.07037415107091283,Model1 top expected return #8: MCG,MCG ranks #8 by model1 predicted 5-session return at 7.04%.,2026-06-11 11:33:24
e292c991-2fb1-4c56-b1b3-72ab3cf7428c,2026-05-28,model1,model1,DLG,,success,expected_return_5d,0.053849616140689616,Model1 top expected return #9: DLG,DLG ranks #9 by model1 predicted 5-session return at 5.38%.,2026-06-11 11:33:24
e292c991-2fb1-4c56-b1b3-72ab3cf7428c,2026-05-28,model1,model1,UDC,,success,expected_return_5d,0.04566438992818189,Model1 top expected return #10: UDC,UDC ranks #10 by model1 predicted 5-session return at 4.57%.,2026-06-11 11:33:24
e292c991-2fb1-4c56-b1b3-72ab3cf7428c,2026-05-28,model1,model1,,,warning,model1_backtest_outperformance,-0.40289408241569924,Model1 backtest vs benchmark,Model1 underperformed benchmark by 40.29 percentage points in cumulative return.,2026-06-11 11:33:24
