model_name,metric_group,metric_name,metric_value,created_at
model3,classification,Accuracy,56.301749479872974,2026-06-03 08:51:01
model3,classification,Macro_Precision,0.5070094823772394,2026-06-03 08:51:01
model3,classification,Macro_Recall,0.4610380791058921,2026-06-03 08:51:01
model3,classification,Macro_F1,0.4597572533884255,2026-06-03 08:51:01
model3,classification,Adjusted_Accuracy,52.69160468661821,2026-06-03 08:51:01
model3,classification,Adjusted_Macro_Precision,0.6179804322913885,2026-06-03 08:51:01
model3,classification,Adjusted_Macro_Recall,0.3512822239118132,2026-06-03 08:51:01
model3,classification,Adjusted_Macro_F1,0.26759573966695,2026-06-03 08:51:01
model3,classification,Adjusted_BUY_Precision,67.98365122615803,2026-06-03 08:51:01
model3,classification,Adjusted_SELL_Precision,65.0275965880582,2026-06-03 08:51:01
model3,classification,Signal_Min_Action_Probability,0.6,2026-06-03 08:51:01
model3,classification,Signal_Min_Action_Margin,0.0,2026-06-03 08:51:01
model3,classification,Baseline_Accuracy,51.591546567161664,2026-06-03 08:51:01
model3,classification,Baseline_Label,HOLD,2026-06-03 08:51:01
model3,backtest,Top_K,5,2026-06-03 08:51:01
model3,backtest,Min_Volume,100000,2026-06-03 08:51:01
model3,backtest,Min_Close,10.0,2026-06-03 08:51:01
model3,backtest,Min_Buy_Probability,0.35,2026-06-03 08:51:01
model3,backtest,Min_Buy_Sell_Margin,0.0,2026-06-03 08:51:01
model3,backtest,Transaction_Cost_Rate,0.001,2026-06-03 08:51:01
model3,backtest,Slippage_Rate,0.001,2026-06-03 08:51:01
model3,backtest,Round_Trip_Cost_Rate,0.004,2026-06-03 08:51:01
model3,backtest,Eligible_Rows,26467,2026-06-03 08:51:01
model3,backtest,Eligible_Symbols,197,2026-06-03 08:51:01
model3,backtest,Backtest_Days,392,2026-06-03 08:51:01
model3,backtest,Trade_Days,353,2026-06-03 08:51:01
model3,backtest,Average_Daily_Return,0.007745860263418178,2026-06-03 08:51:01
model3,backtest,Average_Daily_Return_Net,0.004143819447091646,2026-06-03 08:51:01
model3,backtest,Cumulative_Return,12.196711962099203,2026-06-03 08:51:01
model3,backtest,Cumulative_Return_Net,2.2338615837519815,2026-06-03 08:51:01
model3,backtest,Benchmark_Cumulative_Return,0.2372033685462569,2026-06-03 08:51:01
model3,backtest,Hit_Rate,52.55102040816326,2026-06-03 08:51:01
model3,backtest,Sharpe_Ratio,2.55773128834971,2026-06-03 08:51:01
model3,backtest,Sharpe_Ratio_Net,1.3697213969837656,2026-06-03 08:51:01
