model_name,trading_date,symbol,predicted_signal,adjusted_signal,sell_probability,hold_probability,buy_probability,encode_sector,sector,close,volume,target_signal,target_return,predicted_signal_score,signal_confidence,buy_sell_margin,created_at
model3,2024-10-18,ABR,HOLD,HOLD,0.21693984,0.52712035,0.25593984,0,Industrial Goods & Services,11.77,17400.0,BUY,0.0594732370433306,0.039000005,0.52712035,0.039000005,2026-06-03 08:51:00
model3,2024-10-21,ABR,HOLD,HOLD,0.2744927,0.4217593,0.30374795,0,Industrial Goods & Services,12.12,23400.0,HOLD,0.0165016501650165,0.029255241,0.4217593,0.029255241,2026-06-03 08:51:00
model3,2024-10-22,ABR,HOLD,HOLD,0.24092448,0.44492665,0.31414884,0,Industrial Goods & Services,12.12,18100.0,HOLD,0.0033003300330034,0.073224366,0.44492665,0.073224366,2026-06-03 08:51:00
model3,2024-10-23,ABR,HOLD,HOLD,0.2593853,0.4686113,0.27200344,0,Industrial Goods & Services,12.28,13300.0,HOLD,-0.0097719869706839,0.012618154,0.4686113,0.012618154,2026-06-03 08:51:00
model3,2024-10-24,ABR,HOLD,HOLD,0.21104352,0.4851255,0.30383092,0,Industrial Goods & Services,12.4,31500.0,SELL,-0.0887096774193547,0.0927874,0.4851255,0.0927874,2026-06-03 08:51:00
model3,2024-10-25,ABR,HOLD,HOLD,0.27020204,0.5054514,0.22434652,0,Industrial Goods & Services,12.47,1600.0,SELL,-0.157177225340818,-0.045855522,0.5054514,-0.045855522,2026-06-03 08:51:00
model3,2024-10-28,ABR,HOLD,HOLD,0.22545116,0.555973,0.21857591,0,Industrial Goods & Services,12.32,13100.0,SELL,-0.1720779220779221,-0.0068752468,0.555973,-0.0068752468,2026-06-03 08:51:00
model3,2024-10-29,ABR,HOLD,HOLD,0.1588452,0.57940435,0.26175043,0,Industrial Goods & Services,12.16,14600.0,SELL,-0.1291118421052631,0.10290523,0.57940435,0.10290523,2026-06-03 08:51:00
model3,2024-10-30,ABR,HOLD,HOLD,0.18702762,0.6077823,0.20519008,0,Industrial Goods & Services,12.16,1500.0,SELL,-0.1546052631578948,0.01816246,0.6077823,0.01816246,2026-06-03 08:51:00
model3,2024-11-04,ABR,BUY,HOLD,0.32180205,0.32876647,0.34943146,0,Industrial Goods & Services,11.3,7400.0,SELL,-0.0831858407079647,0.027629405,0.34943146,0.027629405,2026-06-03 08:51:00
model3,2024-11-05,ABR,BUY,HOLD,0.17478743,0.23742753,0.587785,0,Industrial Goods & Services,10.51,1200.0,HOLD,-0.0142721217887726,0.41299757,0.587785,0.41299757,2026-06-03 08:51:00
model3,2024-11-06,ABR,BUY,HOLD,0.25278202,0.28121546,0.46600255,0,Industrial Goods & Services,10.2,1400.0,HOLD,0.0156862745098038,0.21322054,0.46600255,0.21322054,2026-06-03 08:51:00
model3,2024-11-08,ABR,BUY,HOLD,0.28765047,0.3086663,0.40368322,0,Industrial Goods & Services,10.59,200.0,SELL,-0.084985835694051,0.11603275,0.40368322,0.11603275,2026-06-03 08:51:00
model3,2024-11-13,ABR,HOLD,HOLD,0.26526788,0.38388622,0.35084587,0,Industrial Goods & Services,10.28,1600.0,HOLD,0.0,0.085577995,0.38388622,0.085577995,2026-06-03 08:51:00
model3,2024-11-15,ABR,BUY,HOLD,0.29058892,0.3290501,0.38036102,0,Industrial Goods & Services,10.36,100.0,HOLD,-0.0077220077220077,0.089772105,0.38036102,0.089772105,2026-06-03 08:51:00
model3,2024-11-18,ABR,HOLD,HOLD,0.25245816,0.39375654,0.35378537,0,Industrial Goods & Services,10.36,500.0,HOLD,-0.0077220077220077,0.10132721,0.39375654,0.10132721,2026-06-03 08:51:00
model3,2024-11-19,ABR,HOLD,HOLD,0.30427697,0.37619022,0.3195328,0,Industrial Goods & Services,10.36,100.0,HOLD,0.0222007722007722,0.015255839,0.37619022,0.015255839,2026-06-03 08:51:00
model3,2024-11-20,ABR,BUY,HOLD,0.1852552,0.21695538,0.5977894,0,Industrial Goods & Services,9.69,1100.0,BUY,0.0928792569659442,0.4125342,0.5977894,0.4125342,2026-06-03 08:51:00
model3,2024-11-21,ABR,SELL,HOLD,0.33948958,0.3308486,0.32966185,0,Industrial Goods & Services,10.28,700.0,HOLD,0.0077821011673151,-0.009827733,0.33948958,-0.009827733,2026-06-03 08:51:00
model3,2024-11-25,ABR,HOLD,HOLD,0.2991105,0.36221403,0.33867547,0,Industrial Goods & Services,10.28,300.0,HOLD,0.0077821011673151,0.039564967,0.36221403,0.039564967,2026-06-03 08:51:00
model3,2024-11-26,ABR,HOLD,HOLD,0.33831352,0.35334685,0.30833963,0,Industrial Goods & Services,10.28,600.0,HOLD,0.0145914396887159,-0.029973894,0.35334685,-0.029973894,2026-06-03 08:51:00
model3,2024-11-28,ABR,SELL,HOLD,0.43228504,0.3364549,0.23126006,0,Industrial Goods & Services,10.59,100.0,HOLD,-0.0151085930122757,-0.20102498,0.43228504,-0.20102498,2026-06-03 08:51:00
model3,2024-11-29,ABR,SELL,HOLD,0.37933674,0.34170693,0.2789563,0,Industrial Goods & Services,10.59,100.0,BUY,0.0519357884796978,-0.10038045,0.37933674,-0.10038045,2026-06-03 08:51:00
model3,2024-12-03,ABR,HOLD,HOLD,0.25806037,0.4468314,0.29510826,0,Industrial Goods & Services,10.36,500.0,BUY,0.1438223938223939,0.037047893,0.4468314,0.037047893,2026-06-03 08:51:00
model3,2024-12-05,ABR,HOLD,HOLD,0.21458068,0.45842323,0.32699615,0,Industrial Goods & Services,10.43,200.0,BUY,0.139980824544583,0.11241546,0.45842323,0.11241546,2026-06-03 08:51:00
model3,2024-12-06,ABR,HOLD,HOLD,0.1997573,0.48404855,0.31619412,0,Industrial Goods & Services,10.43,200.0,BUY,0.0604026845637584,0.116436824,0.48404855,0.116436824,2026-06-03 08:51:00
model3,2024-12-09,ABR,SELL,HOLD,0.54121274,0.24166323,0.217124,0,Industrial Goods & Services,11.14,6800.0,HOLD,-0.0242369838420108,-0.32408875,0.54121274,-0.32408875,2026-06-03 08:51:00
model3,2024-12-10,ABR,SELL,HOLD,0.4656313,0.25113964,0.283229,0,Industrial Goods & Services,11.85,4100.0,SELL,-0.0531645569620252,-0.18240231,0.4656313,-0.18240231,2026-06-03 08:51:00
model3,2024-12-11,ABR,SELL,HOLD,0.5922377,0.18485065,0.22291164,0,Industrial Goods & Services,12.63,8400.0,SELL,-0.1678543151227237,-0.36932606,0.5922377,-0.36932606,2026-06-03 08:51:00
model3,2024-12-12,ABR,SELL,HOLD,0.4549677,0.22424123,0.32079107,0,Industrial Goods & Services,11.89,5900.0,SELL,-0.1160639192598823,-0.13417664,0.4549677,-0.13417664,2026-06-03 08:51:00
model3,2024-12-13,ABR,BUY,HOLD,0.33868647,0.31984434,0.34146923,0,Industrial Goods & Services,11.06,3000.0,SELL,-0.0741410488245931,0.002782762,0.34146923,0.002782762,2026-06-03 08:51:00
model3,2024-12-17,ABR,SELL,HOLD,0.37480828,0.37381724,0.25137445,0,Industrial Goods & Services,10.87,7600.0,SELL,-0.06163753449862,-0.12343383,0.37480828,-0.12343383,2026-06-03 08:51:00
model3,2024-12-18,ABR,SELL,HOLD,0.47971925,0.2811998,0.2390809,0,Industrial Goods & Services,11.22,6900.0,SELL,-0.0837789661319073,-0.24063835,0.47971925,-0.24063835,2026-06-03 08:51:00
model3,2024-12-19,ABR,BUY,HOLD,0.15734647,0.3120825,0.53057104,0,Industrial Goods & Services,10.51,2300.0,SELL,-0.0294957183634634,0.37322456,0.53057104,0.37322456,2026-06-03 08:51:00
model3,2024-12-20,ABR,BUY,HOLD,0.22789396,0.37569255,0.39641345,0,Industrial Goods & Services,10.51,200.0,BUY,0.0266412940057088,0.16851948,0.39641345,0.16851948,2026-06-03 08:51:00
model3,2024-12-23,ABR,BUY,HOLD,0.17301123,0.35072976,0.47625896,0,Industrial Goods & Services,10.24,4300.0,BUY,0.0458984375,0.30324775,0.47625896,0.30324775,2026-06-03 08:51:00
model3,2024-12-24,ABR,BUY,HOLD,0.22052097,0.36939472,0.41008425,0,Industrial Goods & Services,10.2,200.0,HOLD,0.0,0.18956327,0.41008425,0.18956327,2026-06-03 08:51:00
model3,2024-12-25,ABR,BUY,HOLD,0.2554589,0.3715162,0.37302488,0,Industrial Goods & Services,10.28,100.0,BUY,0.0496108949416342,0.11756599,0.37302488,0.11756599,2026-06-03 08:51:00
model3,2024-12-26,ABR,HOLD,HOLD,0.24301541,0.42975092,0.32723364,0,Industrial Goods & Services,10.2,200.0,BUY,0.0500000000000002,0.084218234,0.42975092,0.084218234,2026-06-03 08:51:00
model3,2024-12-27,ABR,SELL,HOLD,0.5193487,0.2732276,0.20742372,0,Industrial Goods & Services,10.79,100.0,HOLD,-0.0222428174235401,-0.31192496,0.5193487,-0.31192496,2026-06-03 08:51:00
model3,2024-12-30,ABR,SELL,HOLD,0.40911856,0.3175303,0.27335116,0,Industrial Goods & Services,10.71,100.0,HOLD,-0.0149393090569561,-0.1357674,0.40911856,-0.1357674,2026-06-03 08:51:00
model3,2024-12-31,ABR,BUY,HOLD,0.23407894,0.33608764,0.42983344,0,Industrial Goods & Services,10.2,1000.0,BUY,0.0696078431372551,0.1957545,0.42983344,0.1957545,2026-06-03 08:51:00
model3,2025-01-02,ABR,SELL,HOLD,0.4776928,0.30816695,0.21414019,0,Industrial Goods & Services,10.79,1000.0,HOLD,-0.0185356811862835,-0.2635526,0.4776928,-0.2635526,2026-06-03 08:51:00
model3,2025-01-08,ABR,SELL,HOLD,0.45129538,0.3450865,0.20361808,0,Industrial Goods & Services,10.71,1900.0,HOLD,0.018674136321195,-0.2476773,0.45129538,-0.2476773,2026-06-03 08:51:00
