Top_K,Min_Volume,Min_Close,Min_Buy_Probability,Min_Buy_Sell_Margin,Transaction_Cost_Rate,Slippage_Rate,Round_Trip_Cost_Rate,Eligible_Rows,Eligible_Symbols,Backtest_Days,Trade_Days,Average_Daily_Return,Average_Daily_Return_Net,Cumulative_Return,Cumulative_Return_Net,Benchmark_Cumulative_Return,Hit_Rate,Sharpe_Ratio,Sharpe_Ratio_Net
5,200000,10.0,0.45,0.0,0.001,0.001,0.004,11350,140,202,46,0.0018239391961325597,0.0009130481070236482,0.30427123651661514,0.08536965305586608,-0.5726511745580491,13.366336633663368,0.9104671879862782,0.45769874607698346
10,200000,10.0,0.45,0.0,0.001,0.001,0.004,11350,140,202,46,0.0018239391961325597,0.0009130481070236482,0.30427123651661514,0.08536965305586608,-0.5726511745580491,13.366336633663368,0.9104671879862782,0.45769874607698346
20,200000,10.0,0.45,0.0,0.001,0.001,0.004,11350,140,202,46,0.0018239391961325597,0.0009130481070236482,0.30427123651661514,0.08536965305586608,-0.5726511745580491,13.366336633663368,0.9104671879862782,0.45769874607698346
5,50000,5.0,0.6,0.0,0.001,0.001,0.004,19428,248,202,0,0.0,0.0,0.0,0.0,-0.6366138696886554,0.0,0.0,0.0
5,50000,5.0,0.65,0.0,0.001,0.001,0.004,19428,248,202,0,0.0,0.0,0.0,0.0,-0.6366138696886554,0.0,0.0,0.0
5,50000,10.0,0.55,0.0,0.001,0.001,0.004,15797,201,202,0,0.0,0.0,0.0,0.0,-0.5488923202483598,0.0,0.0,0.0
5,50000,10.0,0.6,0.0,0.001,0.001,0.004,15797,201,202,0,0.0,0.0,0.0,0.0,-0.5488923202483598,0.0,0.0,0.0
5,50000,10.0,0.65,0.0,0.001,0.001,0.004,15797,201,202,0,0.0,0.0,0.0,0.0,-0.5488923202483598,0.0,0.0,0.0
5,100000,5.0,0.6,0.0,0.001,0.001,0.004,16011,212,202,0,0.0,0.0,0.0,0.0,-0.6516077006610144,0.0,0.0,0.0
5,100000,5.0,0.65,0.0,0.001,0.001,0.004,16011,212,202,0,0.0,0.0,0.0,0.0,-0.6516077006610144,0.0,0.0,0.0
5,100000,10.0,0.55,0.0,0.001,0.001,0.004,13386,172,202,0,0.0,0.0,0.0,0.0,-0.5489531151795815,0.0,0.0,0.0
5,100000,10.0,0.6,0.0,0.001,0.001,0.004,13386,172,202,0,0.0,0.0,0.0,0.0,-0.5489531151795815,0.0,0.0,0.0
5,100000,10.0,0.65,0.0,0.001,0.001,0.004,13386,172,202,0,0.0,0.0,0.0,0.0,-0.5489531151795815,0.0,0.0,0.0
5,200000,5.0,0.6,0.0,0.001,0.001,0.004,13138,171,202,0,0.0,0.0,0.0,0.0,-0.6658931202819851,0.0,0.0,0.0
5,200000,5.0,0.65,0.0,0.001,0.001,0.004,13138,171,202,0,0.0,0.0,0.0,0.0,-0.6658931202819851,0.0,0.0,0.0
5,200000,10.0,0.55,0.0,0.001,0.001,0.004,11350,140,202,0,0.0,0.0,0.0,0.0,-0.5726511745580491,0.0,0.0,0.0
5,200000,10.0,0.6,0.0,0.001,0.001,0.004,11350,140,202,0,0.0,0.0,0.0,0.0,-0.5726511745580491,0.0,0.0,0.0
5,200000,10.0,0.65,0.0,0.001,0.001,0.004,11350,140,202,0,0.0,0.0,0.0,0.0,-0.5726511745580491,0.0,0.0,0.0
10,50000,5.0,0.6,0.0,0.001,0.001,0.004,19428,248,202,0,0.0,0.0,0.0,0.0,-0.6366138696886554,0.0,0.0,0.0
10,50000,5.0,0.65,0.0,0.001,0.001,0.004,19428,248,202,0,0.0,0.0,0.0,0.0,-0.6366138696886554,0.0,0.0,0.0
10,50000,10.0,0.55,0.0,0.001,0.001,0.004,15797,201,202,0,0.0,0.0,0.0,0.0,-0.5488923202483598,0.0,0.0,0.0
10,50000,10.0,0.6,0.0,0.001,0.001,0.004,15797,201,202,0,0.0,0.0,0.0,0.0,-0.5488923202483598,0.0,0.0,0.0
10,50000,10.0,0.65,0.0,0.001,0.001,0.004,15797,201,202,0,0.0,0.0,0.0,0.0,-0.5488923202483598,0.0,0.0,0.0
10,100000,5.0,0.6,0.0,0.001,0.001,0.004,16011,212,202,0,0.0,0.0,0.0,0.0,-0.6516077006610144,0.0,0.0,0.0
10,100000,5.0,0.65,0.0,0.001,0.001,0.004,16011,212,202,0,0.0,0.0,0.0,0.0,-0.6516077006610144,0.0,0.0,0.0
10,100000,10.0,0.55,0.0,0.001,0.001,0.004,13386,172,202,0,0.0,0.0,0.0,0.0,-0.5489531151795815,0.0,0.0,0.0
10,100000,10.0,0.6,0.0,0.001,0.001,0.004,13386,172,202,0,0.0,0.0,0.0,0.0,-0.5489531151795815,0.0,0.0,0.0
10,100000,10.0,0.65,0.0,0.001,0.001,0.004,13386,172,202,0,0.0,0.0,0.0,0.0,-0.5489531151795815,0.0,0.0,0.0
10,200000,5.0,0.6,0.0,0.001,0.001,0.004,13138,171,202,0,0.0,0.0,0.0,0.0,-0.6658931202819851,0.0,0.0,0.0
10,200000,5.0,0.65,0.0,0.001,0.001,0.004,13138,171,202,0,0.0,0.0,0.0,0.0,-0.6658931202819851,0.0,0.0,0.0
10,200000,10.0,0.55,0.0,0.001,0.001,0.004,11350,140,202,0,0.0,0.0,0.0,0.0,-0.5726511745580491,0.0,0.0,0.0
10,200000,10.0,0.6,0.0,0.001,0.001,0.004,11350,140,202,0,0.0,0.0,0.0,0.0,-0.5726511745580491,0.0,0.0,0.0
10,200000,10.0,0.65,0.0,0.001,0.001,0.004,11350,140,202,0,0.0,0.0,0.0,0.0,-0.5726511745580491,0.0,0.0,0.0
20,50000,5.0,0.6,0.0,0.001,0.001,0.004,19428,248,202,0,0.0,0.0,0.0,0.0,-0.6366138696886554,0.0,0.0,0.0
20,50000,5.0,0.65,0.0,0.001,0.001,0.004,19428,248,202,0,0.0,0.0,0.0,0.0,-0.6366138696886554,0.0,0.0,0.0
20,50000,10.0,0.55,0.0,0.001,0.001,0.004,15797,201,202,0,0.0,0.0,0.0,0.0,-0.5488923202483598,0.0,0.0,0.0
20,50000,10.0,0.6,0.0,0.001,0.001,0.004,15797,201,202,0,0.0,0.0,0.0,0.0,-0.5488923202483598,0.0,0.0,0.0
20,50000,10.0,0.65,0.0,0.001,0.001,0.004,15797,201,202,0,0.0,0.0,0.0,0.0,-0.5488923202483598,0.0,0.0,0.0
20,100000,5.0,0.6,0.0,0.001,0.001,0.004,16011,212,202,0,0.0,0.0,0.0,0.0,-0.6516077006610144,0.0,0.0,0.0
20,100000,5.0,0.65,0.0,0.001,0.001,0.004,16011,212,202,0,0.0,0.0,0.0,0.0,-0.6516077006610144,0.0,0.0,0.0
20,100000,10.0,0.55,0.0,0.001,0.001,0.004,13386,172,202,0,0.0,0.0,0.0,0.0,-0.5489531151795815,0.0,0.0,0.0
20,100000,10.0,0.6,0.0,0.001,0.001,0.004,13386,172,202,0,0.0,0.0,0.0,0.0,-0.5489531151795815,0.0,0.0,0.0
20,100000,10.0,0.65,0.0,0.001,0.001,0.004,13386,172,202,0,0.0,0.0,0.0,0.0,-0.5489531151795815,0.0,0.0,0.0
20,200000,5.0,0.6,0.0,0.001,0.001,0.004,13138,171,202,0,0.0,0.0,0.0,0.0,-0.6658931202819851,0.0,0.0,0.0
20,200000,5.0,0.65,0.0,0.001,0.001,0.004,13138,171,202,0,0.0,0.0,0.0,0.0,-0.6658931202819851,0.0,0.0,0.0
20,200000,10.0,0.55,0.0,0.001,0.001,0.004,11350,140,202,0,0.0,0.0,0.0,0.0,-0.5726511745580491,0.0,0.0,0.0
20,200000,10.0,0.6,0.0,0.001,0.001,0.004,11350,140,202,0,0.0,0.0,0.0,0.0,-0.5726511745580491,0.0,0.0,0.0
20,200000,10.0,0.65,0.0,0.001,0.001,0.004,11350,140,202,0,0.0,0.0,0.0,0.0,-0.5726511745580491,0.0,0.0,0.0
5,100000,10.0,0.45,0.0,0.001,0.001,0.004,13386,172,202,48,0.0012788902406265768,0.00032839519112162557,0.15951305266349447,-0.043280722524114745,-0.5489531151795815,13.861386138613863,0.6171423328200635,0.15883255287857395
10,100000,10.0,0.45,0.0,0.001,0.001,0.004,13386,172,202,48,0.0012788902406265768,0.00032839519112162557,0.15951305266349447,-0.043280722524114745,-0.5489531151795815,13.861386138613863,0.6171423328200635,0.15883255287857395
20,100000,10.0,0.45,0.0,0.001,0.001,0.004,13386,172,202,48,0.0012788902406265768,0.00032839519112162557,0.15951305266349447,-0.043280722524114745,-0.5489531151795815,13.861386138613863,0.6171423328200635,0.15883255287857395
5,200000,5.0,0.45,0.0,0.001,0.001,0.004,13138,171,202,76,0.0025216217891783532,0.0010166712941288465,0.29715642146206234,-0.043420613567100697,-0.6658931202819851,19.306930693069308,0.7998472867789489,0.32305632554925906
10,200000,5.0,0.45,0.0,0.001,0.001,0.004,13138,171,202,76,0.0025216217891783532,0.0010166712941288465,0.29715642146206234,-0.043420613567100697,-0.6658931202819851,19.306930693069308,0.7998472867789489,0.32305632554925906
20,200000,5.0,0.45,0.0,0.001,0.001,0.004,13138,171,202,76,0.0025216217891783532,0.0010166712941288465,0.29715642146206234,-0.043420613567100697,-0.6658931202819851,19.306930693069308,0.7998472867789489,0.32305632554925906
5,50000,10.0,0.45,0.0,0.001,0.001,0.004,15797,201,202,50,0.001028701555636965,3.860254573597422e-05,0.09263244559869022,-0.10590924670061441,-0.5488923202483598,14.356435643564355,0.4781269030131465,0.017966833356137545
10,50000,10.0,0.45,0.0,0.001,0.001,0.004,15797,201,202,50,0.001028701555636965,3.860254573597422e-05,0.09263244559869022,-0.10590924670061441,-0.5488923202483598,14.356435643564355,0.4781269030131465,0.017966833356137545
20,50000,10.0,0.45,0.0,0.001,0.001,0.004,15797,201,202,50,0.001028701555636965,3.860254573597422e-05,0.09263244559869022,-0.10590924670061441,-0.5488923202483598,14.356435643564355,0.4781269030131465,0.017966833356137545
