feature,importance
volatility_20d,0.21503791
volatility_5d,0.102137685
daily_range,0.07664383
return_3d,0.075083114
volume,0.05604215
price_vs_ma20,0.049336407
return_1d,0.044282336
close_position,0.038459785
return_5d,0.03599507
volume_ma_5,0.032645185
volume_ma_20,0.02662274
return_20d,0.02536793
drawdown_20d,0.025106883
ma5_vs_ma20,0.020311803
close,0.019437246
return_10d,0.019055258
high,0.015572017
ma_20,0.0148802325
rolling_max_20d,0.013839093
ma_5,0.013246135
volume_change_1d,0.013083853
ma_50,0.011919328
low,0.011819265
volatility_change,0.011736192
open,0.011614341
body_ratio,0.010559465
volume_ratio_5_20,0.0101647265
