model_name,trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return,created_at
model3,2025-08-01,"PC1,FCN,NAF,BMS,VOS",5,0.03215569672783438,0.04331195932573317,0.3887898921966553,0.004,0.02815569672783438,0.03215569672783447,0.028155696727834467,0.043311959325733174,2026-06-11 18:34:50
model3,2025-08-04,"NVL,TPB,ANV,NAF,BMS",5,0.061778933693387425,0.04397380656062332,0.3944135308265686,0.004,0.05777893369338742,0.09592117507723552,0.0875614365555506,0.08919035760750771,2026-06-11 18:34:50
model3,2025-08-05,"HAG,BMS,NAF,TPB,MBB",5,0.06098515339165402,0.04526439552185748,0.37927424907684326,0.004,0.056985153391654025,0.1627560960444825,0.1495362918405163,0.13849190075284734,2026-06-11 18:34:50
model3,2025-08-06,"ANV,DGW,TPB,NAF,NHH",5,0.02256130379610466,0.03312473088079675,0.38375234603881836,0.004,0.01856130379610466,0.18898938956811473,0.17087318417801578,0.1762041385752522,2026-06-11 18:34:50
model3,2025-08-07,"TPB,VDS,ANV,FCN,NVL",5,0.015203936770749316,0.03201019373692506,0.4212144911289215,0.004,0.011203936770749316,0.20706670906820013,0.18399157330011207,0.213854660925219,2026-06-11 18:34:50
model3,2025-08-08,"HT1,HAG,BMS,TDC,NAF",5,-0.007519069725580451,0.005504136352929742,0.41333287954330444,0.004,-0.011519069725580451,0.1979906903192894,0.17035309181276825,0.22053588249159084,2026-06-11 18:34:50
model3,2025-08-11,"GEE,BMS,TPB,VDS,VOS",5,0.018483186299218458,0.012059482819049233,0.3927915096282959,0.004,0.014483186299218458,0.22013337543319023,0.18730353367735897,0.2352549139965312,2026-06-11 18:34:50
model3,2025-08-12,"VOS,NAG,HT1,TPB,MML",5,0.030123023707841014,0.01594562511031275,0.39189913868904114,0.004,0.026123023707841014,0.2568874820280922,0.21831949203601586,0.25495182577079145,2026-06-11 18:34:50
model3,2025-08-13,"EVG,TPB,HDG,NLG,FCN",5,-0.0056262335554611905,-0.0029544550431565924,0.4120948314666748,0.004,-0.00962623355546119,0.24981593950126668,0.20659166406050633,0.25124412702022436,2026-06-11 18:34:50
model3,2025-08-14,"EVG,MBB,HT1,CRE,VJC",5,-0.005085096606991702,-0.012188848053356415,0.410430371761322,0.004,-0.0090850966069917,0.24346050470794456,0.1956296622273257,0.23599290247832028,2026-06-11 18:34:50
model3,2025-08-15,"TPB,MML,MSB,HT1,VOS",5,0.0020279766420330026,-0.017496026291153592,0.3866662085056305,0.004,-0.0019720233579669975,0.24598221356678285,0.19327185260593516,0.2143679381608805,2026-06-11 18:34:50
model3,2025-08-18,"TCI,PC1,HDG,HT1,BMS",5,-0.06095887574626611,-0.04648358917494748,0.39719995856285095,0.004,-0.0649588757462661,0.17002853862790768,0.11575825460098943,0.15791975781618217,2026-06-11 18:34:50
model3,2025-08-19,"DSC,CTX,VDS,SAM,EVG",5,-0.047095119231311246,-0.031022252561171533,0.4460437297821045,0.004,-0.05109511923131124,0.11492590509718958,0.05874845354883207,0.12199847864363811,2026-06-11 18:34:50
model3,2025-08-20,"L14,FCN,MBB,HDG,NAG",5,-0.04929192982118349,-0.020628051268635067,0.3813011050224304,0.004,-0.053291929821183484,0.059969055627319356,0.002325705264021094,0.09885383650284663,2026-06-11 18:34:50
model3,2025-08-21,"TPB,MSB,SSB,TCI,MBB",5,-0.009870853435758619,-0.00946811577567248,0.4090718626976013,0.004,-0.013870853435758619,0.049506256432782614,-0.011577407688589614,0.08844976115829573,2026-06-11 18:34:50
model3,2025-08-22,"NVL,MBB,VDS,LDP,VOS",5,0.04220050191338043,0.019213919679570958,0.3995843231678009,0.004,0.038200501913380425,0.09379594721547901,0.026180831440230756,0.10936314744443942,2026-06-11 18:34:50
model3,2025-08-25,"VOS,HAG,NAG,LDP,TDC",5,0.020459327119425996,0.05042827803964182,0.41236644983291626,0.004,0.016459327119425996,0.11617427630146282,0.043071077428590065,0.16530642069069978,2026-06-11 18:34:50
model3,2025-08-26,"MSB,TCI,CRE,NAF,VOS",5,0.04865005652721242,0.024322250659360417,0.38742703199386597,0.004,0.04465005652721242,0.17047621793774925,0.08964425999767678,0.1936492955497009,2026-06-11 18:34:50
model3,2025-08-27,"CSM,MSB,HAG,DSC,PC1",5,0.013347742473123314,0.012306554266785055,0.38804176449775696,0.004,0.009347742473123314,0.18609943306569776,0.09982997392745219,0.20833900538089312,2026-06-11 18:34:50
model3,2025-08-28,"TCI,DSC,MSB,VDS,VOS",5,-0.021224957814754596,-0.027009301237610934,0.40532582998275757,0.004,-0.025224957814754596,0.16092452263477397,0.0720868092317295,0.17570261318740532,2026-06-11 18:34:50
model3,2025-08-29,"TCI,SHS,NAG,VOS,TDC",5,-0.030371133570077723,-0.027214209367199472,0.4145916998386383,0.004,-0.03437113357007772,0.1256659288930546,0.03523797031290732,0.14370679611855985,2026-06-11 18:34:50
model3,2025-09-03,"L14,MSB,TCI,CRE,FCN",5,-0.07652288502412304,-0.035980666085130605,0.38912874460220337,0.004,-0.08052288502412304,0.03952672444079863,-0.04812237774320549,0.10255546378812341,2026-06-11 18:34:50
model3,2025-09-04,"TCI,EVG,CRE,FCN,TDC",5,-0.051621098070929516,-0.03178322019357175,0.38934239745140076,0.004,-0.05562109807092952,-0.014134786548911982,-0.10106685632227386,0.06751270070691984,2026-06-11 18:34:50
model3,2025-09-05,"TCI,VOS,TDC,CRE,MSB",5,-0.025182864202836375,-0.0062111233489798275,0.3965121805667877,0.004,-0.029182864202836376,-0.038961696341551,-0.12730030018164973,0.06088224764622674,2026-06-11 18:34:50
model3,2025-09-08,"GEE,NHA,MSB,CTX,SHS",5,0.04813202347637187,0.03740067424375682,0.39398160576820374,0.004,0.044132023476371865,0.0072950218518299526,-0.08878629654144365,0.10055995900142789,2026-06-11 18:34:50
model3,2025-09-09,"CTP,TDC,FCN,SSB,TCI",5,0.018515982831445954,0.021797328448960703,0.39383283257484436,0.004,0.014515982831445954,0.02594607918263936,-0.07555913406626091,0.12454922590555673,2026-06-11 18:34:50
